game_id,date,home_team,away_team,model,side,edge,kalshi_price,model_prob,home_win,outcome,pnl
22500697,2026-01-31,Charlotte Hornets,San Antonio Spurs,M2,buy,0.0717,0.4,0.4717,1,1,27.9
22500698,2026-01-31,Indiana Pacers,Atlanta Hawks,M2,sell,-0.0926,0.48,0.3874,1,0,-26.0
22500709,2026-02-01,Phoenix Suns,LA Clippers,M2,buy,0.094,0.58,0.674,0,0,-29.0
22500703,2026-02-01,San Antonio Spurs,Orlando Magic,M2,buy,0.0588,0.56,0.6188,1,1,20.46
22500715,2026-02-02,LA Clippers,Philadelphia 76ers,M2,buy,0.1596,0.5,0.6596,0,0,-25.0
22500717,2026-02-03,Indiana Pacers,Utah Jazz,M2,buy,0.1171,0.43,0.5471,0,0,-21.5
22500720,2026-02-03,Miami Heat,Atlanta Hawks,M2,buy,0.0715,0.53,0.6015,0,0,-26.5
22500731,2026-02-04,Sacramento Kings,Memphis Grizzlies,M2,sell,-0.2382,0.58,0.3418,0,1,26.97
22500732,2026-02-04,LA Clippers,Cleveland Cavaliers,M2,buy,0.1729,0.42,0.5929,0,0,-21.0
22500740,2026-02-05,Los Angeles Lakers,Philadelphia 76ers,M2,sell,-0.0647,0.57,0.5053,1,0,-21.5
22500746,2026-02-06,Sacramento Kings,LA Clippers,M2,sell,-0.1106,0.41,0.2994,0,1,19.065
22500743,2026-02-06,Milwaukee Bucks,Indiana Pacers,M2,buy,0.2806,0.47,0.7506,1,1,24.645
22500753,2026-02-07,Los Angeles Lakers,Golden State Warriors,M2,sell,-0.1245,0.55,0.4255,1,0,-22.5
22500770,2026-02-09,Portland Trail Blazers,Philadelphia 76ers,M2,sell,-0.257,0.6,0.343,1,0,-20.0
22500762,2026-02-09,Brooklyn Nets,Chicago Bulls,M2,buy,0.1358,0.43,0.5658,1,1,26.505
22500784,2026-02-11,New Orleans Pelicans,Miami Heat,M2,sell,-0.0951,0.54,0.4449,0,1,25.11
22500781,2026-02-11,Toronto Raptors,Detroit Pistons,M2,sell,-0.1036,0.51,0.4064,0,1,23.715
22500775,2026-02-11,Charlotte Hornets,Atlanta Hawks,M2,buy,0.1209,0.55,0.6709,1,1,20.925
22500803,2026-02-20,Washington Wizards,Indiana Pacers,M2,sell,-0.0793,0.52,0.4407,1,0,-24.0
22500804,2026-02-20,Memphis Grizzlies,Utah Jazz,M2,buy,0.0905,0.56,0.6505,1,1,20.46
22500810,2026-02-20,Portland Trail Blazers,Denver Nuggets,M2,sell,-0.1504,0.48,0.3296,0,1,22.32
22500811,2026-02-21,Phoenix Suns,Orlando Magic,M2,sell,-0.0845,0.59,0.5055,1,0,-20.5
22500812,2026-02-21,New Orleans Pelicans,Philadelphia 76ers,M2,sell,-0.0978,0.4,0.3022,1,0,-30.0
22500821,2026-02-22,Indiana Pacers,Dallas Mavericks,M2,sell,-0.0571,0.49,0.4329,0,1,22.785
22500823,2026-02-22,Los Angeles Lakers,Boston Celtics,M2,sell,-0.0681,0.49,0.4219,0,1,22.785
22500826,2026-02-22,Phoenix Suns,Portland Trail Blazers,M2,buy,0.3221,0.41,0.7321,0,0,-20.5
22500829,2026-02-23,Memphis Grizzlies,Sacramento Kings,M2,buy,0.1774,0.58,0.7574,0,0,-29.0
22500828,2026-02-23,Detroit Pistons,San Antonio Spurs,M2,buy,0.0912,0.53,0.6212,0,0,-26.5
22500833,2026-02-24,Brooklyn Nets,Dallas Mavericks,M2,buy,0.1013,0.47,0.5713,0,0,-23.5
22500834,2026-02-24,Toronto Raptors,Oklahoma City Thunder,M2,sell,-0.1035,0.57,0.4665,0,1,26.505
22500838,2026-02-24,New Orleans Pelicans,Golden State Warriors,M2,sell,-0.1092,0.48,0.3708,1,0,-26.0
22500847,2026-02-25,Denver Nuggets,Boston Celtics,M2,sell,-0.0546,0.58,0.5254,1,0,-21.0
22500864,2026-02-28,Miami Heat,Houston Rockets,M2,buy,0.0683,0.44,0.5083,1,1,26.04
22500866,2026-02-28,Golden State Warriors,Los Angeles Lakers,M2,buy,0.0799,0.41,0.4899,0,0,-20.5
22500872,2026-03-01,Indiana Pacers,Memphis Grizzlies,M2,sell,-0.1096,0.49,0.3804,0,1,22.785
22500871,2026-03-01,Denver Nuggets,Minnesota Timberwolves,M2,sell,-0.0503,0.58,0.5297,0,1,26.97
22500868,2026-03-01,New York Knicks,San Antonio Spurs,M2,buy,0.0878,0.49,0.5778,1,1,23.715
22500880,2026-03-02,Milwaukee Bucks,Boston Celtics,M2,sell,-0.0876,0.44,0.3524,0,1,20.46
22500882,2026-03-02,Golden State Warriors,LA Clippers,M2,buy,0.0611,0.5,0.5611,0,0,-25.0
22500884,2026-03-03,Cleveland Cavaliers,Detroit Pistons,M2,buy,0.0508,0.43,0.4808,1,1,26.505
22500893,2026-03-04,New York Knicks,Oklahoma City Thunder,M2,buy,0.0667,0.4,0.4667,0,0,-20.0
22500897,2026-03-04,Milwaukee Bucks,Atlanta Hawks,M2,sell,-0.0724,0.51,0.4376,0,1,23.715
22500904,2026-03-05,San Antonio Spurs,Detroit Pistons,M2,sell,-0.0961,0.58,0.4839,1,0,-21.0
22500911,2026-03-06,Denver Nuggets,New York Knicks,M2,sell,-0.0921,0.53,0.4379,0,1,24.645
22500921,2026-03-08,Cleveland Cavaliers,Boston Celtics,M2,sell,-0.0582,0.53,0.4718,0,1,24.645
22500923,2026-03-08,Miami Heat,Detroit Pistons,M2,sell,-0.0858,0.5,0.4142,1,0,-25.0
22500239,2025-11-16,Phoenix Suns,Atlanta Hawks,M3,buy,0.1382,0.53,0.6682,0,0,-26.5
22500249,2025-11-18,Orlando Magic,Golden State Warriors,M3,buy,0.1257,0.44,0.5657,1,1,26.04
22500251,2025-11-18,Atlanta Hawks,Detroit Pistons,M3,buy,0.1811,0.45,0.6311,0,0,-22.5
22500254,2025-11-18,Portland Trail Blazers,Phoenix Suns,M3,sell,-0.1292,0.54,0.4108,0,1,25.11
22500263,2025-11-19,Portland Trail Blazers,Chicago Bulls,M3,buy,0.0898,0.41,0.4998,0,0,-20.5
22500256,2025-11-19,Indiana Pacers,Charlotte Hornets,M3,sell,-0.2912,0.46,0.1688,1,0,-27.0
22500255,2025-11-19,Cleveland Cavaliers,Houston Rockets,M3,buy,0.1209,0.46,0.5809,0,0,-23.0
22500258,2025-11-19,Philadelphia 76ers,Toronto Raptors,M3,buy,0.1773,0.44,0.6173,0,0,-22.0
22500265,2025-11-20,Memphis Grizzlies,Sacramento Kings,M3,sell,-0.0528,0.58,0.5272,1,0,-21.0
22500267,2025-11-20,San Antonio Spurs,Atlanta Hawks,M3,buy,0.208,0.5,0.708,1,1,23.25
22500054,2025-11-21,Houston Rockets,Denver Nuggets,M3,buy,0.0879,0.58,0.6679,0,0,-29.0
22500051,2025-11-21,Chicago Bulls,Miami Heat,M3,sell,-0.102,0.56,0.458,0,1,26.04
22500269,2025-11-22,Orlando Magic,New York Knicks,M3,buy,0.0515,0.55,0.6015,1,1,20.925
22500275,2025-11-23,Philadelphia 76ers,Miami Heat,M3,buy,0.0973,0.5,0.5973,0,0,-25.0
22500281,2025-11-23,Phoenix Suns,San Antonio Spurs,M3,buy,0.0625,0.55,0.6125,1,1,20.925
22500284,2025-11-24,Toronto Raptors,Cleveland Cavaliers,M3,buy,0.0505,0.55,0.6005,1,1,20.925
22500066,2025-11-26,Golden State Warriors,Houston Rockets,M3,sell,-0.1761,0.6,0.4239,0,1,27.9
22500067,2025-11-26,Portland Trail Blazers,San Antonio Spurs,M3,sell,-0.2041,0.5,0.2959,0,1,23.25
22500065,2025-11-26,New Orleans Pelicans,Memphis Grizzlies,M3,sell,-0.2213,0.41,0.1887,0,1,19.065
22500060,2025-11-26,Boston Celtics,Detroit Pistons,M3,buy,0.2143,0.46,0.6743,1,1,25.11
22500077,2025-11-28,Utah Jazz,Sacramento Kings,M3,sell,-0.1944,0.57,0.3756,1,0,-21.5
22500072,2025-11-28,Detroit Pistons,Orlando Magic,M3,buy,0.1037,0.6,0.7037,0,0,-30.0
22500071,2025-11-28,Charlotte Hornets,Chicago Bulls,M3,sell,-0.0713,0.42,0.3487,1,0,-29.0
22500295,2025-11-29,Indiana Pacers,Chicago Bulls,M3,sell,-0.0627,0.43,0.3673,1,0,-28.5
22500307,2025-11-30,Sacramento Kings,Memphis Grizzlies,M3,sell,-0.2942,0.42,0.1258,0,1,19.53
22500304,2025-11-30,Philadelphia 76ers,Atlanta Hawks,M3,sell,-0.0674,0.58,0.5126,0,1,26.97
22500320,2025-12-02,Boston Celtics,New York Knicks,M3,buy,0.1499,0.49,0.6399,1,1,23.715
22500327,2025-12-03,Atlanta Hawks,LA Clippers,M3,buy,0.2112,0.55,0.7612,0,0,-27.5
22500336,2025-12-04,Toronto Raptors,Los Angeles Lakers,M3,buy,0.1158,0.57,0.6858,0,0,-28.5
22500348,2025-12-05,Milwaukee Bucks,Philadelphia 76ers,M3,sell,-0.1183,0.49,0.3717,0,1,22.785
22500347,2025-12-05,Memphis Grizzlies,LA Clippers,M3,buy,0.2559,0.46,0.7159,1,1,25.11
22500340,2025-12-05,Atlanta Hawks,Denver Nuggets,M3,buy,0.1634,0.4,0.5634,0,0,-20.0
22500357,2025-12-07,New York Knicks,Orlando Magic,M3,buy,0.1448,0.52,0.6648,1,1,22.32
22500360,2025-12-07,Memphis Grizzlies,Portland Trail Blazers,M3,buy,0.1224,0.56,0.6824,1,1,20.46
22500361,2025-12-07,Chicago Bulls,Golden State Warriors,M3,sell,-0.24,0.49,0.25,0,1,22.785
22500362,2025-12-07,Philadelphia 76ers,Los Angeles Lakers,M3,buy,0.2184,0.42,0.6384,0,0,-21.0
22501201,2025-12-09,Orlando Magic,Miami Heat,M3,buy,0.0837,0.53,0.6137,1,1,21.855
22501209,2025-12-12,Charlotte Hornets,Chicago Bulls,M3,buy,0.1643,0.44,0.6043,0,0,-22.0
22501224,2025-12-15,Utah Jazz,Dallas Mavericks,M3,sell,-0.3324,0.49,0.1576,1,0,-25.5
22501222,2025-12-15,Boston Celtics,Detroit Pistons,M3,buy,0.1834,0.53,0.7134,0,0,-26.5
22500378,2025-12-18,Phoenix Suns,Golden State Warriors,M3,sell,-0.109,0.45,0.341,1,0,-27.5
22500383,2025-12-19,Atlanta Hawks,San Antonio Spurs,M3,sell,-0.082,0.4,0.318,0,1,18.6
22500395,2025-12-20,LA Clippers,Los Angeles Lakers,M3,sell,-0.0952,0.47,0.3748,1,0,-26.5
22500389,2025-12-20,New Orleans Pelicans,Indiana Pacers,M3,sell,-0.1933,0.57,0.3767,1,0,-21.5
22500388,2025-12-20,Toronto Raptors,Boston Celtics,M3,sell,-0.2739,0.54,0.2661,0,1,25.11
22500387,2025-12-20,Philadelphia 76ers,Dallas Mavericks,M3,buy,0.0983,0.54,0.6383,1,1,21.39
22500397,2025-12-21,Brooklyn Nets,Toronto Raptors,M3,buy,0.1183,0.41,0.5283,1,1,27.435
22500404,2025-12-22,New Orleans Pelicans,Dallas Mavericks,M3,sell,-0.0825,0.49,0.4075,1,0,-25.5
22500420,2025-12-23,Portland Trail Blazers,Orlando Magic,M3,sell,-0.1766,0.49,0.3134,0,1,22.785
22500418,2025-12-23,Phoenix Suns,Los Angeles Lakers,M3,sell,-0.2328,0.58,0.3472,1,0,-21.0
22500419,2025-12-23,Utah Jazz,Memphis Grizzlies,M3,sell,-0.1296,0.4,0.2704,0,1,18.6
22500413,2025-12-23,Indiana Pacers,Milwaukee Bucks,M3,sell,-0.0733,0.48,0.4067,0,1,22.32
22500411,2025-12-23,Atlanta Hawks,Chicago Bulls,M3,sell,-0.094,0.58,0.486,0,1,26.97
22500012,2025-12-25,Los Angeles Lakers,Houston Rockets,M3,sell,-0.1841,0.5,0.3159,0,1,23.25
22500013,2025-12-25,Denver Nuggets,Minnesota Timberwolves,M3,buy,0.0579,0.5,0.5579,1,1,23.25
22500423,2025-12-26,Atlanta Hawks,Miami Heat,M3,sell,-0.1757,0.59,0.4143,0,1,27.435
22500427,2025-12-26,Chicago Bulls,Philadelphia 76ers,M3,sell,-0.1828,0.49,0.3072,1,0,-25.5
22500432,2025-12-27,Sacramento Kings,Dallas Mavericks,M3,sell,-0.2283,0.44,0.2117,1,0,-28.0
22500438,2025-12-27,Houston Rockets,Cleveland Cavaliers,M3,buy,0.124,0.56,0.684,1,1,20.46
22500445,2025-12-28,LA Clippers,Detroit Pistons,M3,sell,-0.1061,0.4,0.2939,1,0,-30.0
22500457,2025-12-29,Portland Trail Blazers,Dallas Mavericks,M3,sell,-0.1477,0.57,0.4223,1,0,-21.5
22500456,2025-12-29,San Antonio Spurs,Cleveland Cavaliers,M3,buy,0.1685,0.6,0.7685,0,0,-30.0
22500450,2025-12-29,Miami Heat,Denver Nuggets,M3,sell,-0.1236,0.46,0.3364,1,0,-27.0
22500447,2025-12-29,Charlotte Hornets,Milwaukee Bucks,M3,buy,0.1343,0.43,0.5643,0,0,-21.5
22500460,2025-12-30,Los Angeles Lakers,Detroit Pistons,M3,sell,-0.1515,0.44,0.2885,0,1,20.46
22500466,2025-12-31,Chicago Bulls,New Orleans Pelicans,M3,sell,-0.1144,0.55,0.4356,1,0,-22.5
22500473,2026-01-01,Dallas Mavericks,Philadelphia 76ers,M3,buy,0.0705,0.45,0.5205,0,0,-22.5
22500477,2026-01-02,Washington Wizards,Brooklyn Nets,M3,sell,-0.2042,0.58,0.3758,1,0,-21.0
22500493,2026-01-03,LA Clippers,Boston Celtics,M3,sell,-0.0855,0.53,0.4445,0,1,24.645
22500494,2026-01-04,Cleveland Cavaliers,Detroit Pistons,M3,sell,-0.2731,0.59,0.3169,0,1,27.435
22500502,2026-01-05,Detroit Pistons,New York Knicks,M3,buy,0.068,0.47,0.538,1,1,24.645
22500508,2026-01-05,LA Clippers,Golden State Warriors,M3,buy,0.1707,0.4,0.5707,1,1,27.9
22500530,2026-01-08,Minnesota Timberwolves,Cleveland Cavaliers,M3,buy,0.0721,0.58,0.6521,1,1,19.53
22500534,2026-01-09,Washington Wizards,New Orleans Pelicans,M3,buy,0.1048,0.44,0.5448,0,0,-22.0
